"speciesid","Year","spending"
"419",2003,423117.195652174
"419",2004,541848.759131816
"419",2005,648533.596006144
"419",2006,373305.779761905
"419",2007,369056.989869754
"419",2008,480957.236878774
"419",2009,402494.193006993
"419",2010,547795.690508941
"419",2011,758794.289906625
"419",2012,530381.027874564
"419",2013,860788.044206009
"428",2014,65788.6920152091
"428",2015,48339.5113924051
"428",2016,44891.08625
"428",2000,545141.114982578
"428",2001,688522.021456804
"428",2002,453823.290717065
"428",2003,517240.923913043
"428",2004,49673.9460031763
"428",2005,30621.8125960061
"428",2006,31797.3482142857
"428",2007,65265.4124457308
"428",2008,215849.654435671
"428",2009,144774.685314685
"428",2010,150771.899587345
"428",2011,28402.8288128057
"428",2012,28423.4869337979
"428",2013,39400.0879828326
"436",2014,34895.9442332066
"436",2015,46233.9265822785
"436",2016,52298.2125
"436",1996,0
"436",1997,0
"436",1998,99242.9447852761
"436",1999,95627.2509003601
"436",2000,108174.216027875
"436",2001,16745.9627329193
"436",2002,154090.10561423
"436",2003,220456.793478261
"436",2004,146359.343568025
"436",2005,185487.864823349
"436",2006,205625.040178571
"436",2007,239887.04341534
"436",2008,233295.810961449
"436",2009,166875.963636364
"436",2010,107968.741403026
"436",2011,127688.490440196
"436",2012,45612.5121951219
"436",2013,136717.411158798
"459",2014,1190354.50316857
"459",2015,922234.770886076
"459",2016,1004173.67875
"459",1996,400954.856596558
"459",1997,589247.887850467
"459",1998,527566.472392638
"459",1999,2012644.68187275
"459",2000,428327.195121951
"459",2001,393607.626199887
"459",2002,866577.685380767
"459",2003,5629607.32336957
"459",2004,385298.757014293
"459",2005,325398.173579109
"459",2006,559737.398809524
"459",2007,496980.745296671
"459",2008,658042.840687413
"459",2009,1295555.17902098
"459",2010,1139783.55158184
"459",2011,1102775.62916852
"459",2012,912379.412456446
"459",2013,1747398.89871245
"458",2014,2722807.30544994
"458",2015,2911632.87341772
"458",2016,2583340.72375
"458",1996,195330.17208413
"458",1997,385883.607476635
"458",1998,288000.018404908
"458",1999,347744.819927971
"458",2000,277751.533101045
"458",2001,371615.056465274
"458",2002,570283.257365203
"458",2003,874523.460326087
"458",2004,692866.170460561
"458",2005,265945.422427035
"458",2006,1031649.72916667
"458",2007,1982673.37192475
"458",2008,3940914.28982815
"458",2009,2934646.86013986
"458",2010,3535592.78541953
"458",2011,3161360.61182748
"458",2012,4810094.97256098
"458",2013,5549778.26137339
"460",2014,376560.373891001
"460",2015,338133.548101266
"460",2016,469587.09
"460",1996,161853.479923518
"460",1997,174715.831775701
"460",1998,27276.773006135
"460",1999,121284.777911164
"460",2000,251305.783972125
"460",2001,171572.767927724
"460",2002,123441.025013897
"460",2003,77526.1956521739
"460",2004,374420.417151932
"460",2005,294482.692780338
"460",2006,363747.366071429
"460",2007,197209.138929088
"460",2008,472134.547607989
"460",2009,527601.46013986
"460",2010,411427.489683631
"460",2011,2480464.31124944
"460",2012,1235069.14808362
"460",2013,430704.867811159
"496",2014,889001.619771863
"496",2015,1327500.89873418
"496",2016,826414.90375
"496",1996,933457.648183556
"496",1997,418563.607476635
"496",1998,520950.27607362
"496",1999,748099.339735894
"496",2000,858277.00348432
"496",2001,882692.151326934
"496",2002,935576.26459144
"496",2003,765910.858695652
"496",2004,1496280.35574378
"496",2005,1456709.74500768
"496",2006,1031097.76785714
"496",2007,1170580.10130246
"496",2008,695489.749187181
"496",2009,1698071.08251748
"496",2010,1589085.22833563
"496",2011,2076222.59226323
"496",2012,1407458.99477352
"496",2013,2421893.06008584
"525",2014,10354.8795944233
"525",2015,3619.62025316456
"525",2016,2042.5
"539",2014,27430.0760456274
"539",2015,410051.265822785
"539",2016,35918.38375
"539",2001,0
"539",2002,0
"539",2003,133.20652173913
"539",2004,154533.668607729
"539",2005,99338.9170506912
"539",2006,29827.7946428571
"539",2007,150234.594790159
"539",2008,75795.4389224338
"539",2009,14398.6251748252
"539",2010,6150.53782668501
"539",2011,220618.335260116
"539",2012,692044.547038327
"539",2013,159345.506008584
"538",2014,8832500.01901141
"538",2015,1802043.4556962
"538",2016,1546131.65
"538",1996,354512.390057361
"538",1997,511579.439252336
"538",1998,732548.263803681
"538",1999,5634092.80912365
"538",2000,6436380.08710801
"538",2001,22473461.1936759
"538",2002,31043895.9638688
"538",2003,34119350.6380435
"538",2004,19912315.8485971
"538",2005,16933912.5652842
"538",2006,4151551.45833333
"538",2007,8499852.81331404
"538",2008,7224140.92336275
"538",2009,4473359.52167832
"538",2010,15784970.431912
"538",2011,11609711.313028
"538",2012,17538031.2216899
"538",2013,16152913.6622318
"559",2014,23609786.1166033
"559",2015,12331884.8708861
"559",2016,16387341.065
"559",1996,1848794.45506692
"559",1997,4868968.76635514
"559",1998,5397417.77300613
"559",1999,4955418.85354142
"559",2000,4029162.17770035
"559",2001,4516427.66798419
"559",2002,7518670.70594775
"559",2003,6922770.90815217
"559",2004,7381769.73160402
"559",2005,10290102.4500768
"559",2006,11080481.0431548
"559",2007,8773779.552822
"559",2008,10161041.1430562
"559",2009,10889046.8447552
"559",2010,8730023.71939477
"559",2011,11611875.6909738
"559",2012,14552639.5635888
"559",2013,16947250.1523605
"569",2014,43497.742712294
"569",2015,51915.6962025316
"569",2016,17175.3825
"603",2014,192445.437262357
"603",2015,236548.388607595
"603",2016,394147.3525
"603",2010,180719.950481431
"603",2011,101135.082258782
"603",2012,131930.199041812
"603",2013,173810.613733906
"614",2014,1902211.05576679
"614",2015,360400.417721519
"614",2016,564765.5475
"614",1996,104319.808795411
"614",1997,184672.542056075
"614",1998,1641358.01226994
"614",1999,173158.883553421
"614",2000,366525.557491289
"614",2001,124183.077357425
"614",2002,673710.280155642
"614",2003,111417.930978261
"614",2004,191968.184753838
"614",2005,1649812.90322581
"614",2006,468744.023809524
"614",2007,1017580.00289436
"614",2008,584628.958662332
"614",2009,470064.092307692
"614",2010,2356188.66712517
"614",2011,3342442.54068475
"614",2012,2510826.39067944
"614",2013,523019.205579399
"632",2014,156358.681875792
"632",2015,2947.40506329114
"632",2016,222862.28125
"632",1996,351481.835564054
"632",1997,0
"632",1998,0
"632",1999,3089.49579831933
"632",2000,3131.35888501742
"632",2001,0
"632",2002,0
"632",2003,266.413043478261
"632",2004,1297.51191106405
"632",2005,710.325652841782
"632",2006,249.233630952381
"632",2008,113.841151881096
"632",2009,652789.855944056
"632",2010,101710.31911967
"632",2011,259519.377945754
"632",2012,235818.011759582
"632",2013,251260.109871245
"647",2014,50221.1660329531
"647",2015,98478.4911392405
"647",2016,419224.14625
"647",1996,77794.6462715105
"647",1997,207991.401869159
"647",1998,222289.159509202
"647",1999,535512.605042017
"647",2000,123119.337979094
"647",2001,204549.858836815
"647",2002,150479.68315731
"647",2003,161355.723913043
"647",2004,240688.459502382
"647",2005,875576.766513057
"647",2006,779554.166666667
"647",2007,1021545.58610709
"647",2008,2069518.30004645
"647",2009,1026112.00699301
"647",2010,1194314.64924347
"647",2011,1169516.06491774
"647",2012,164488.147212544
"647",2013,194971.264377682
"650",2014,101209.628643853
"650",2015,627899.662025316
"650",2016,1096082.09375
"663",2014,70465.9911280101
"663",2015,91369.5569620253
"663",2016,218936.59625
"663",1996,235524.072657744
"663",1997,212526.897196262
"663",1998,183900.18404908
"663",1999,253162.112845138
"663",2000,626556.445993031
"663",2001,125663.918690006
"663",2002,63897.6653696498
"663",2003,62733.6114130435
"663",2004,90230.2758073054
"663",2005,213373.794162826
"663",2006,644644.610119048
"663",2007,99448.1722141823
"663",2008,147022.432419879
"663",2009,169024.159440559
"663",2010,198800.711141678
"663",2011,45009.4708759449
"663",2012,162290.146777003
"663",2013,87916.2128755365
"664",2014,113906.782002535
"664",2015,108800.613924051
"664",2016,725625.69875
"664",1996,327799.770554493
"664",1997,259103.53271028
"664",1998,481629.018404908
"664",1999,419465.258103241
"664",2000,727443.135888502
"664",2001,142402.961603614
"664",2002,47889.1884380211
"664",2003,52616.5760869565
"664",2004,352609.241926945
"664",2005,472990.290322581
"664",2006,377832.105654762
"664",2007,1950921.51230101
"664",2008,142091.972131909
"664",2009,892009.741258741
"664",2010,356155.810178817
"664",2011,3266870.22232103
"664",2012,1137314.17290941
"664",2013,301509.817596567
"675",2014,732495.89860583
"675",2015,1117769.75949367
"675",2016,129128.8925
"675",1996,170585.850860421
"675",1997,1682103.73831776
"675",1998,159074.411042945
"675",1999,117165.450180072
"675",2000,2696754.73867596
"675",2001,2858508.15923207
"675",2002,2464763.20289049
"675",2003,257357.664130435
"675",2004,4008097.33403917
"675",2005,8437519.1827957
"675",2006,906568.488095238
"675",2007,439376.924746744
"675",2008,1310044.1314445
"675",2009,595345.043356643
"675",2010,1933587.2696011
"675",2011,2401944.03601601
"675",2012,2781113.19120209
"675",2013,289957.507725322
"679",2015,2775592.03164557
"679",2016,3335574.07
"693",2014,1152480.49556401
"693",2015,1186433.9556962
"693",2016,1757303.6825
"704",2014,378870.547528517
"704",2015,212978.455696203
"704",2016,334157.085
"704",1996,102007.839388145
"704",1997,293509.158878505
"704",1998,105964.398773006
"704",1999,295605.900360144
"704",2000,276555.923344948
"704",2001,40134.9520045172
"704",2002,68257.4207893274
"704",2003,21979.0760869565
"704",2004,76894.4483853891
"704",2005,176873.597542243
"704",2006,224553.422619048
"704",2007,244708.643994211
"704",2008,274098.756618672
"704",2009,177891.18041958
"704",2010,223199.455295736
"704",2011,302041.884837706
"704",2012,300770.579268293
"704",2013,440115.445493562
"712",2014,31039386.338403
"712",2015,32004384.435443
"712",2016,34656265.81
"712",1996,46237232.3900574
"712",1997,27566404.635514
"712",1998,37922834.3558282
"712",1999,24436058.0672269
"712",2000,30554447.8222997
"712",2001,29031207.8791643
"712",2002,31686374.0461367
"712",2003,21328222.361413
"712",2004,28641231.2143992
"712",2005,38033576.3563748
"712",2006,28562563.1547619
"712",2007,31614692.2995658
"712",2008,26616329.9749187
"712",2009,36252906.6853147
"712",2010,31425437.5006878
"712",2011,30452754.1040462
"712",2012,37158722.8327526
"712",2013,38846529.1068669
"715",2014,2913366.08365019
"715",2015,3978633.83924051
"715",2016,2941045.79125
"715",1996,1941320.09560229
"715",1997,2470684.35514019
"715",1998,3792253.36196319
"715",1999,2033461.99879952
"715",2000,2177746.2369338
"715",2001,2113781.98136646
"715",2002,1978869.82379099
"715",2003,3855060.67826087
"715",2004,1935665.89677078
"715",2005,1710739.01536098
"715",2006,852307.287202381
"715",2007,868895.461649783
"715",2008,5192337.05852299
"715",2009,6644462.17762238
"715",2010,7804451.49931224
"715",2011,4649277.8150289
"715",2012,7034431.91550523
"715",2013,3644681.18111588
"718",2014,21331.051964512
"718",2015,9411.01265822785
"718",2016,11311.365
"718",1996,41865.3919694073
"718",1997,32267.6822429907
"718",1998,9773.9263803681
"718",1999,2574.57983193277
"718",2000,24196.8641114983
"718",2001,1799.15302089215
"718",2002,2043.63535297387
"718",2003,1998.09782608696
"718",2004,1297.51191106405
"718",2005,9098.69431643625
"718",2006,79450.8184523809
"718",2007,71531.8379160637
"718",2008,71435.3228053878
"718",2009,75606.2083916084
"718",2010,62392.0536451169
"718",2011,63939.6042685638
"718",2012,10180.8305749129
"718",2013,6357.87296137339
"758",2014,1465451.55386565
"758",2015,1953752.08227848
"758",2016,2130022.14625
"758",1996,392160
"758",1997,940618.971962617
"758",1998,7142.48466257669
"758",1999,9709.84393757503
"758",2000,3828.79790940767
"758",2001,37367.0242800678
"758",2002,1634.9082823791
"758",2003,270276.032608696
"758",2004,2945968.35627316
"758",2005,3109711.58371736
"758",2006,860059.061011905
"758",2007,145340.871201158
"758",2008,1035326.07895959
"758",2009,2435385.58741259
"758",2010,4981598.50068776
"758",2011,4654204.88083593
"758",2012,2313428.0174216
"758",2013,1998475.97253219
"821",2014,23198.0367553866
"821",2015,20647.3481012658
"821",2016,61897.9625
"821",1996,7966.92160611855
"821",1997,27487.8504672897
"821",1998,36614.6319018405
"821",1999,38545.1380552221
"821",2000,41148.9024390244
"821",2001,42902.8797289667
"821",2002,50137.1873262924
"821",2003,19448.152173913
"821",2004,131178.454208576
"821",2005,39908.7557603687
"821",2006,45320.400297619
"821",2007,49977.6989869754
"821",2008,46561.0311193683
"821",2009,25858.3356643357
"821",2010,30014.3548830812
"821",2011,21333.1814139618
"821",2012,175801.604529617
"821",2013,24053.4618025751
"822",2014,358913.588086185
"822",2015,2534189.21518987
"822",2016,602000.3225
"829",2014,1173989.65145754
"829",2015,532639.530379747
"829",2016,1609149.92375
"829",1996,957592.734225621
"829",1997,638588.579439252
"829",1998,932582.944785276
"829",1999,434103.583433373
"829",2000,642996.080139373
"829",2001,250082.269904009
"829",2002,93939.1050583657
"829",2003,433848.313043478
"829",2004,871224.752779248
"829",2005,974535.420890937
"829",2006,297991.023809524
"829",2007,1671046.39797395
"829",2008,155265.670227589
"829",2009,859456.576223776
"829",2010,1756067.89133425
"829",2011,744995.018230324
"829",2012,1439635.84233449
"829",2013,1266791.46051502
"873",2014,122203.111533587
"873",2015,165634.856962025
"873",2016,617978.8
"873",1996,30461.759082218
"873",1997,53448.5981308411
"873",1998,422910.27607362
"873",1999,32748.6554621849
"873",2000,7102.49128919861
"873",2001,62970.3557312253
"873",2002,83789.0494719288
