"speciesid","speciesname","taxon","conservation_status","listed"
"49556","Appaleptoneta barrowsi","Invertebrates","1",0
"49563","Mimetus syllepsicus","Invertebrates","UNK",0
"49575","Mimetus tillandsiae","Invertebrates","UNK",0
"49564","Ero furcata","Invertebrates","UNK",0
"49566","Ero lodingi","Invertebrates","UNK",0
"49567","Ero pensacolae","Invertebrates","UNK",0
"49568","Liocranoides gertschi","Invertebrates","UNK",0
"49576","Myrmekiaphila tigris","Invertebrates","UNK",0
"49534","Trogloraptor marchingtoni","Invertebrates","UNK",0
"49387","Deinopsis virginiana","Invertebrates","UNK",0
"49389","Hesperus stehri","Invertebrates","UNK",0
"49392","Sepedophilus campbelli","Invertebrates","UNK",0
"49393","Xylodromus capito","Invertebrates","UNK",0
"48755","Pygmarrhopalites madonnensis","Invertebrates","UNK",0
"48756","Centruroides vittatus","Invertebrates","UNK",0
"46031","Pseudanophthalmus sp. 36","Invertebrates","UNK",0
"49613","Stygobromus sp. 34","Invertebrates","1",0
"48763","Leschius mcallisteri","Invertebrates","UNK",0
"47522","Perlesta durfeei","Invertebrates","2 ",0
"49594","Neolygus crataegi","Invertebrates","UNK",0
"49592","Litocampa sp. 10","Invertebrates","1",0
"49593","Litocampa sp. 11","Invertebrates","2 ",0
"49595","Paleonura petebellingeri","Invertebrates","1",0
"49597","Pseudanophthalmus sp. 42","Invertebrates","1",0
"49596","Pseudanophthalmus sp. 43","Invertebrates","1",0
"49612","Speleonura kenchristianseni","Invertebrates","1",0
"49591","Caecidotea mausi","Invertebrates","2 ",0
"49606","Pseudotremia loomisi","Invertebrates","1",0
"49599","Pseudotremia contorta","Invertebrates","1",0
"49598","Pseudotremia cerberus","Invertebrates","1",0
"49600","Pseudotremia culveri","Invertebrates","1",0
"49601","Pseudotremia fergusoni","Invertebrates","1",0
"49603","Pseudotremia inexpectata","Invertebrates","1",0
"49604","Pseudotremia jaculohamatum","Invertebrates","1",0
"49605","Pseudotremia johnholsingeri","Invertebrates","1",0
"49607","Pseudotremia orndorffi","Invertebrates","2 ",0
"49608","Pseudotremia peponocranium","Invertebrates","1",0
"49609","Pseudotremia piscator","Invertebrates","1",0
"49610","Pseudotremia ryensis","Invertebrates","1",0
"49611","Pseudotremia salifodina","Invertebrates","1",0
"49602","Pseudotremia hubbardi","Invertebrates","1",0
"46715","Copablepharon absidum","Invertebrates","UNK",0
"46714","Cottus sp. 9","Fishes","3",0
"44895","Gronocarus autumnalis","Invertebrates","2 ",0
"44896","Gronocarus inornatus","Invertebrates","1",0
"44897","Stizocera floridana","Invertebrates","1",0
"44898","Ischyrus dunedinensis","Invertebrates","2 ",0
"44899","Romulus globosus","Invertebrates","1",0
"44900","Aneflomorpha delongi","Invertebrates","2 ",0
"44901","Chelyoxenus xerobatis","Invertebrates","2 ",0
"44902","Eburia stroheckeri","Invertebrates","1",0
"44903","Heterachthes sablensis","Invertebrates","4",0
"44904","Linsleyonides albomaculatus","Invertebrates","3",0
"44905","Aethecerinus hornii","Invertebrates","2 ",0
"44906","Stenodontes chevrolati","Invertebrates","4",0
"44907","Triplax alachuae","Invertebrates","3",0
"44908","Triplax frontalis","Invertebrates","4",0
"45264","Cryptoscatomaseter platypleurus","Invertebrates","2 ",0
"45265","Scabrostomus tanytarsus","Invertebrates","2 ",0
"45266","Scabrostomus baileyi","Invertebrates","2 ",0
"45267","Scabrostomus bakeri","Invertebrates","2 ",0
"45268","Scabrostomus dyspistus","Invertebrates","3",0
"45269","Cryptoscatomaseter gambrinus","Invertebrates","2 ",0
"45270","Cryptoscatomaseter pholetus","Invertebrates","1",0
"45271","Ptomaphagus geomysi","Invertebrates","2 ",0
"45272","Euphoria discicollis","Invertebrates","2 ",0
"45273","Ptomaphagus schwarzi","Invertebrates","3",0
"45274","Selonodon archboldi","Invertebrates","1",0
"45275","Selonodon santarosae","Invertebrates","1",0
"45276","Selonodon similis","Invertebrates","1",0
"45277","Selonodon ferrugineus","Invertebrates","2 ",0
"45278","Selonodon mandibularis","Invertebrates","3",0
"45279","Selonodon floridensis","Invertebrates","3",0
"45280","Onychomira floridensis","Invertebrates","1",0
"45281","Geopsammodius withlacoochee","Invertebrates","1",0
"45282","Geopsammodius fuscus","Invertebrates","1",0
"45283","Geopsammodius morrisi","Invertebrates","1",0
"45284","Geopsammodius subpedalis","Invertebrates","2 ",0
"45285","Geopsammodius relictillus","Invertebrates","2 ",0
"45286","Phyllophaga clemens","Invertebrates","2 ",0
"45287","Phyllophaga yemasseei","Invertebrates","1",0
"45288","Phyllophaga skelleyi","Invertebrates","2 ",0
"45289","Polyphylla gracilis","Invertebrates","2 ",0
"45290","Polyphylla woodruffi","Invertebrates","1",0
"45291","Dasymutilla archboldi","Invertebrates","2 ",0
"45292","Photomorphus archboldi","Invertebrates","2 ",0
"45293","Acrolophus pholeter","Invertebrates","1",0
"45294","Hesperapis oraria","Invertebrates","1",0
"46492","Lasioglossum flaveriae","Invertebrates","1",0
"46494","Floridobolus penneri","Invertebrates","1",0
"46495","Geopsammodius hydropicus","Invertebrates","2 ",0
"46499","Geomysaprinus floridae","Invertebrates","1",0
"46478","Gryllus cayensis","Invertebrates","1",0
"46498","Branchus floridanus","Invertebrates","1",0
"46497","Plesioclytus relictus","Invertebrates","1",0
"46475","Arctosa sanctaerosae","Invertebrates","1",0
"46476","Geolycosa escambiensis","Invertebrates","2 ",0
"46500","Enaphalodes archboldi","Invertebrates","1",0
"46496","Mycterus marmoratus","Invertebrates","1",0
